yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
112610554,1208.0,1161.0,485.0,472.0,567.0,235.0,17.0,16.0,16.0
112610942,1239.0,970.0,1139.0,489.0,806.0,733.0,17.0,13.0,15.0
112690178,2035.0,2129.0,2025.0,365.0,271.0,375.0,20.0,21.0,20.0
112690221,1419.0,1444.0,999.0,261.0,284.0,201.0,20.0,20.0,20.0
100510023,873.0,873.0,873.0,375.0,567.0,327.0,17.0,15.0,17.0
100510032,745.0,648.0,622.0,503.0,840.0,626.0,14.0,10.0,12.0
100510041,937.0,929.0,766.0,263.0,559.0,434.0,19.0,15.0,15.0
100510077,823.0,1052.0,190.0,401.0,412.0,98.0,16.0,17.0,16.0
100510086,789.0,800.0,870.0,651.0,640.0,330.0,13.0,13.0,17.0
100510095,1245.0,1005.0,1186.0,243.0,459.0,278.0,20.0,16.0,19.0
100510129,879.0,888.0,330.0,609.0,600.0,414.0,14.0,14.0,11.0
100510138,962.0,872.0,328.0,526.0,616.0,416.0,16.0,14.0,11.0
100510174,604.0,469.0,363.0,140.0,275.0,381.0,19.0,15.0,12.0
100510183,277.0,201.0,493.0,227.0,303.0,491.0,13.0,10.0,12.0
100510208,398.0,424.0,500.0,106.0,200.0,124.0,19.0,16.0,19.0
100510217,1584.0,1360.0,1349.0,1752.0,1976.0,1987.0,11.0,10.0,10.0
100510235,1516.0,1704.0,1015.0,404.0,216.0,185.0,19.0,21.0,20.0
100510253,555.0,397.0,744.0,429.0,587.0,624.0,14.0,10.0,13.0
100510262,757.0,593.0,673.0,491.0,655.0,695.0,15.0,11.0,12.0
100590058,373.0,401.0,432.0,131.0,223.0,192.0,18.0,15.0,17.0
100590061,769.0,855.0,1376.0,191.0,105.0,64.0,19.0,21.0,23.0
100590064,348.0,414.0,462.0,396.0,330.0,402.0,11.0,13.0,13.0
100590075,892.0,820.0,894.0,356.0,428.0,354.0,17.0,16.0,17.0
100590077,624.0,590.0,724.0,360.0,394.0,404.0,15.0,14.0,15.0
100590078,808.0,631.0,867.0,440.0,617.0,501.0,16.0,12.0,15.0
100590083,399.0,310.0,303.0,345.0,434.0,561.0,13.0,10.0,8.0
100590084,950.0,1043.0,635.0,490.0,397.0,325.0,16.0,17.0,16.0
100590085,212.0,189.0,189.0,148.0,171.0,171.0,14.0,13.0,13.0
100590106,135.0,105.0,3.0,33.0,63.0,21.0,19.0,15.0,3.0
100590120,577.0,716.0,900.0,167.0,268.0,228.0,19.0,17.0,19.0
100590127,1188.0,1051.0,398.0,300.0,437.0,322.0,19.0,17.0,13.0
100590141,1053.0,1220.0,1301.0,147.0,220.0,259.0,21.0,20.0,20.0
100590148,1532.0,1484.0,1520.0,508.0,676.0,640.0,18.0,16.0,17.0
100590162,,,1020.0,,,468.0,,,16.0
300650205,38.0,113.0,179.0,10.0,31.0,61.0,19.0,19.0,18.0
300650206,24.0,24.0,31.0,,,17.0,24.0,24.0,16.0
300650207,48.0,89.0,100.0,24.0,55.0,44.0,16.0,15.0,17.0
300650208,17.0,34.0,102.0,7.0,14.0,66.0,17.0,17.0,15.0
300650219,,,9.0,,,15.0,,,9.0
300650226,,48.0,49.0,,,23.0,,24.0,16.0
100710012,820.0,719.0,443.0,860.0,961.0,517.0,12.0,10.0,11.0
100710021,947.0,944.0,756.0,733.0,736.0,444.0,14.0,13.0,15.0
100710039,816.0,710.0,519.0,384.0,490.0,321.0,16.0,14.0,15.0
100710048,616.0,515.0,248.0,848.0,973.0,496.0,10.0,8.0,8.0
100710057,721.0,719.0,404.0,647.0,649.0,556.0,13.0,13.0,10.0
100710066,394.0,440.0,376.0,590.0,544.0,608.0,10.0,11.0,9.0
100710075,788.0,739.0,575.0,940.0,989.0,673.0,11.0,10.0,11.0
100710084,293.0,296.0,297.0,331.0,328.0,327.0,11.0,11.0,11.0
100710093,275.0,381.0,296.0,349.0,243.0,184.0,11.0,15.0,15.0
100710109,684.0,942.0,607.0,996.0,738.0,593.0,10.0,13.0,12.0
100710118,728.0,647.0,443.0,760.0,817.0,517.0,12.0,11.0,11.0
100710127,1028.0,848.0,243.0,940.0,1120.0,501.0,13.0,10.0,8.0
100710145,3956.0,2627.0,2783.0,2284.0,2173.0,2017.0,15.0,13.0,14.0
100710154,1033.0,816.0,935.0,935.0,1152.0,1033.0,13.0,10.0,11.0
100710163,960.0,920.0,1034.0,984.0,1024.0,1150.0,12.0,11.0,11.0
