yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,yerlesen_2025,taban_2025,tbs_2025,tavan_2025,tavan_bs_2025,has_2025
201990734,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,2,3,"191,65525",1.194.567,"222,54774",841.546,True
201910493,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,40,7,Dolmadı,Dolmadı,"320,30498",243.405,True
201910033,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,2,1,Dolmadı,Dolmadı,"199,76750",1.154.815,True
201990552,HALİÇ ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(İngilizce) (%50 İndirimli) (6 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,11,11,"462,11497",35.624,"476,13017",24.966,True
201990530,HALİÇ ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(İngilizce) (Burslu) (6 Yıllık),İSTANBUL,Vakıf,Burslu,say,7,6,"480,26713",22.118,"487,22192",17.756,True
201911119,HALİÇ ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(%25 İndirimli) (6 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,23,23,"452,69030",43.693,"464,04438",34.048,True
201911094,HALİÇ ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(Burslu) (6 Yıllık),İSTANBUL,Vakıf,Burslu,say,19,17,"480,54459",21.942,"493,80681",14.056,True
201911085,HALİÇ ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(Ücretli) (6 Yıllık),İSTANBUL,Vakıf,Ücretli,say,75,9,Dolmadı,Dolmadı,"451,29416",44.991,True
201991581,HALİÇ ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(İngilizce) (Ücretli) (6 Yıllık),İSTANBUL,Vakıf,Ücretli,say,23,0,Dolmadı,Dolmadı,0,,True
201990930,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Yazılım Mühendisliği,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,67,4,Dolmadı,Dolmadı,"353,72891",167.207,True
201990923,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Yazılım Mühendisliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,8,4,Dolmadı,Dolmadı,"321,80039",204.179,True
201990499,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Yönetim Bilişim Sistemleri,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12,11,"394,69535",36.222,"406,78288",23.076,True
