yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
203211298,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İslam İktisadı ve Finans,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,6,"336,53562","364,79632",88.057,168.319,5,True
203210476,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,59,"286,46951","363,11845",36.613,334.555,59,True
203211285,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(Arapça) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,25,"248,76292","338,58434",84.059,671.079,25,True
203210458,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,11,"369,55930","426,24356",2.311,28.826,11,True
203211283,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(Arapça) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,6,"367,18293","429,91304",1.934,31.475,5,True
203211431,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,İç Mimarlık ve Çevre Tasarımı,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,37,"229,94508","339,70600",157.245,1.042.942,37,True
203211014,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,İç Mimarlık ve Çevre Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"353,37463","366,73960",83.795,115.948,9,True
203211424,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,İç Mimarlık ve Çevre Tasarımı,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,14,"204,99936","273,32614",561.072,1.310.386,14,True
203211494,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Elektrik-Elektronik Mühendisliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,SAY,2+0+0+0+0,Dolmadı,,,Dolmadı,---,True
203211564,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Yazılım Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,SAY,9+0+1+0+1,424.44342,,,71256,10(9+0+0+0+1),True
203211571,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Yazılım Mühendisliği,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,SAY,4+0+0+0+0,Dolmadı,,,Dolmadı,---,True
203211578,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Yazılım Mühendisliği,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,SAY,55+0+0+0+0,Dolmadı,,,Dolmadı,11(11+0+0+0+0),True
203211585,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İktisat,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,EA,5+0+1+0+1,346.2362,,,136346,6(5+0+0+0+1),True
203211592,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İktisat,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,EA,34+0+0+0+0,237.05767,,,958814,34(34+0+0+0+0),True
203211599,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İktisat,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,EA,5+0+1+0+1,346.80442,,,134625,6(5+0+0+0+1),True
203211606,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İktisat,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,EA,37+0+0+0+0,Dolmadı,,,Dolmadı,13(13+0+0+0+0),True
203211522,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İşletme,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,EA,5+0+1+0+1,343.99876,,,143282,6(5+0+0+0+1),True
203211529,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İşletme,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,EA,11+0+0+0+0,Dolmadı,,,Dolmadı,4(4+0+0+0+0),True
203211536,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İşletme,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,EA,23+0+0+0+0,269.42731,,,598438,23(23+0+0+0+0),True
203211543,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İşletme,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,EA,9+0+1+0+1,342.7975,,,147086,10(9+0+0+0+1),True
203211550,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İşletme,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,EA,16+0+0+0+0,Dolmadı,,,Dolmadı,3(3+0+0+0+0),True
203211557,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme ve Yönetim Bilimleri Fakültesi,İşletme,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,EA,43+0+0+0+0,239.53556,,,929381,43(43+0+0+0+0),True
203211508,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,EA,48+0+0+0+0,Dolmadı,,,Dolmadı,28(28+0+0+0+0),True
203211515,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Spor Bilimleri Fakültesi,Spor Yöneticiliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,EA,7+0+1+0+1,288.91918,,,427200,8(7+0+0+0+1),True
