yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
100610225,"19,1",123.0,"10,0",11.0,"17,5"
100610243,"17,1",121.0,"19,1",17.0,"45,9"
100610252,"53,3",477.0,"10,7",7.0,"8,3"
100610261,"20,0",172.0,"12,5",6.0,"8,7"
100610279,"17,6",76.0,"13,5",11.0,"34,4"
100610288,"15,7",75.0,"14,9",7.0,"21,9"
100610304,"23,8",187.0,"14,6",17.0,"32,1"
100610313,"23,5",147.0,"14,9",20.0,"47,6"
100610322,"15,8",97.0,"19,1",7.0,"21,9"
100610331,"42,2",547.0,"9,0",17.0,"11,8"
100610349,"15,8",5.0,"2,9",1.0,"9,1"
100610358,"11,3",90.0,"21,6",17.0,"45,9"
100610367,"11,3",57.0,"13,7",13.0,"35,1"
100610376,"9,6",64.0,"12,3",11.0,"20,8"
100610385,"5,3",3.0,"5,2",2.0,"18,2"
100690069,"15,2",84.0,"7,2",9.0,"11,7"
100690070,"28,1",187.0,"12,3",9.0,"17,3"
100690072,"17,0",18.0,"3,4",4.0,"12,9"
100690077,"10,3",67.0,"12,1",6.0,"11,5"
100690095,"15,5",58.0,"13,9",10.0,"37,0"
100690114,"14,1",44.0,"9,8",7.0,"21,9"
100690116,"16,1",80.0,"15,5",5.0,"16,1"
100690117,"11,1",47.0,"13,3",3.0,"9,4"
100690143,"14,0",145.0,"14,2",59.0,"80,8"
100690150,"26,8",23.0,"9,5",5.0,"62,5"
100710012,"43,7",711.0,"39,7",25.0,"61,0"
100710021,"22,6",276.0,"27,8",19.0,"43,2"
100710039,"35,5",338.0,"30,7",5.0,"16,1"
100710048,"20,2",203.0,"31,4",24.0,"75,0"
100710057,"17,8",172.0,"23,0",17.0,"40,5"
100710066,"6,8",80.0,"27,9",14.0,"34,1"
100710075,"18,6",185.0,"26,9",20.0,"54,1"
100710084,"22,3",148.0,"24,5",9.0,"33,3"
100710093,"34,5",183.0,"24,1",3.0,"13,6"
100710109,"16,3",228.0,"25,9",16.0,"30,2"
100710118,"16,4",206.0,"29,9",22.0,"52,4"
100710127,"23,1",212.0,"28,7",23.0,"71,9"
100710145,"41,1",1028.0,"24,3",19.0,"18,4"
100710154,"44,5",659.0,"23,1",11.0,"17,5"
100710163,"53,1",1034.0,"30,4",23.0,"35,9"
100710181,"54,4",795.0,"27,1",14.0,"25,9"
100710199,"41,6",557.0,"27,3",17.0,"34,7"
100710206,"37,4",387.0,"24,6",14.0,"33,3"
100710215,"39,1",587.0,"35,7",25.0,"59,5"
100710224,"8,5",19.0,"10,7",7.0,"33,3"
100710233,"27,7",235.0,"20,7",13.0,"31,7"
100710242,"4,5",4.0,"8,2",1.0,"9,1"
100710251,"37,0",465.0,"20,3",14.0,"22,6"
100710278,"16,4",1598.0,"30,7",139.0,"43,7"
100710287,"15,8",103.0,"15,9",15.0,"36,6"
100710296,"28,1",424.0,"27,9",9.0,"16,7"
100710427,"16,0",166.0,"28,0",9.0,"24,3"
100710436,"37,4",505.0,"21,8",6.0,"9,7"
100710445,"27,3",267.0,"23,3",14.0,"33,3"
100710463,"10,3",155.0,"29,0",31.0,"59,6"
100710472,"2,3",13.0,"15,7",9.0,"50,0"
100710481,"22,1",262.0,"37,1",16.0,"50,0"
100710499,"32,7",510.0,"48,8",21.0,"65,6"
100710506,"18,1",195.0,"33,6",15.0,"46,9"
100710524,"17,2",87.0,"18,7",4.0,"14,8"
100710533,"17,4",123.0,"22,1",19.0,"59,4"
100710542,"18,5",108.0,"18,3",2.0,"6,3"
100710551,"23,1",203.0,"27,5",17.0,"53,1"
100710569,"14,8",106.0,"22,4",17.0,"53,1"
100710578,"43,9",403.0,"21,9",9.0,"21,4"
100710587,"14,5",100.0,"22,2",14.0,"45,2"
100710596,"32,3",301.0,"22,2",10.0,"23,8"
100710603,"14,9",238.0,"32,5",22.0,"44,9"
100710612,"10,4",103.0,"24,1",26.0,"63,4"
100710648,"20,4",322.0,"30,3",26.0,"50,0"
100710657,"16,3",153.0,"29,4",18.0,"56,3"
100710675,"15,9",295.0,"29,0",28.0,"43,8"
100710684,"37,9",548.0,"18,8",15.0,"19,5"
100710693,"22,0",240.0,"29,5",14.0,"37,8"
100710745,"8,2",273.0,"26,8",81.0,"64,8"
100710754,"27,6",720.0,"35,3",28.0,"38,4"
100710815,"52,5",1391.0,"63,1",33.0,"78,6"
100710824,"38,5",3250.0,"40,2",122.0,"58,1"
100710833,"27,0",211.0,"25,2",12.0,"38,7"
100710869,"27,1",706.0,"44,1",44.0,"77,2"
100710878,"49,2",948.0,"39,3",18.0,"36,7"
100711019,"24,9",182.0,"27,0",8.0,"29,6"
100711037,"11,2",149.0,"24,5",21.0,"38,9"
100711046,"18,5",494.0,"32,5",37.0,"45,1"
100711055,"17,7",166.0,"29,3",18.0,"56,3"
100711064,"6,0",1.0,"16,7",1.0,"100,0"
100711082,"14,8",127.0,"26,8",21.0,"65,6"
100711091,"41,5",745.0,"42,7",32.0,"76,2"
100711107,"27,4",561.0,"40,9",16.0,"32,0"
100711125,"24,3",649.0,"36,1",34.0,"45,9"
100711134,"31,2",878.0,"38,0",25.0,"33,8"
100711161,"25,5",174.0,"21,3",3.0,"9,4"
100711188,"21,2",191.0,"21,5",8.0,"19,5"
100711197,"27,8",475.0,"26,7",19.0,"29,7"
100711204,"19,2",287.0,"23,4",14.0,"22,6"
100790319,"36,7",501.0,"33,3",28.0,"68,3"
100790320,"33,5",344.0,"35,4",17.0,"58,6"
100790323,"28,7",546.0,"28,4",24.0,"35,8"
100790327,"7,6",88.0,"27,7",18.0,"42,9"
100790329,"21,6",212.0,"23,3",15.0,"35,7"
100790413,"16,0",311.0,"28,2",39.0,"56,5"
100790414,"24,4",164.0,"21,0",10.0,"31,3"
100790417,"24,5",317.0,"30,8",24.0,"58,5"
100790418,"15,6",187.0,"22,3",14.0,"25,9"
100790419,"9,9",83.0,"26,3",11.0,"35,5"
100790473,"53,8",1105.0,"34,8",37.0,"62,7"
100790475,"21,8",417.0,"27,8",17.0,"24,6"
100790478,"30,0",313.0,"24,8",6.0,"14,3"
100790530,"19,1",71.0,"26,6",10.0,"71,4"
100790531,"50,3",585.0,"27,7",20.0,"47,6"
100790539,"2,0",0.0,"0,0",0.0,"0,0"
100790567,"38,0",580.0,"36,4",22.0,"52,4"
100790574,"21,0",4.0,"19,0",0.0,"0,0"
100790581,"3,7",0.0,"0,0",,
100790588,"21,0",3.0,"14,3",1.0,"100,0"
100790602,"2,0",1.0,"50,0",,
100790609,"28,6",305.0,"34,4",10.0,"32,3"
100810011,"26,7",177.0,"15,8",21.0,"50,0"
100810047,"8,0",6.0,"6,8",3.0,"27,3"
100810065,"12,4",10.0,"3,1",4.0,"15,4"
100810092,"13,6",32.0,"10,7",3.0,"14,3"
100810126,"0,9",0.0,"0,0",,
100810135,"26,9",134.0,"12,2",9.0,"22,0"
100810144,"10,3",54.0,"12,8",22.0,"53,7"
100810162,"19,3",89.0,"11,0",7.0,"17,1"
100810171,"9,8",43.0,"13,7",16.0,"50,0"
100810189,"11,0",9.0,"5,1",2.0,"12,5"
100810205,"20,2",57.0,"9,1",5.0,"16,1"
100810268,"20,9",159.0,"14,1",16.0,"30,2"
100810286,"9,9",50.0,"15,7",16.0,"50,0"
100810311,"13,5",11.0,"2,0",5.0,"12,2"
100810347,"20,2",102.0,"11,5",16.0,"36,4"
100810356,"14,4",32.0,"10,1",7.0,"31,8"
100810365,"13,5",70.0,"12,4",11.0,"26,2"
100810374,"14,1",150.0,"14,4",9.0,"12,3"
100810383,"9,8",50.0,"7,6",7.0,"10,4"
100810408,"39,5",262.0,"15,8",11.0,"26,2"
100810417,"13,2",39.0,"13,4",9.0,"40,9"
100810426,"7,5",107.0,"17,3",50.0,"61,0"
100810435,"27,8",214.0,"14,2",12.0,"22,2"
100810462,"10,8",43.0,"9,7",22.0,"53,7"
100810471,"18,2",174.0,"12,9",27.0,"36,5"
100810498,"20,9",99.0,"14,8",12.0,"37,5"
100810505,"67,2",535.0,"14,7",24.0,"44,4"
100810514,"22,8",168.0,"17,5",12.0,"28,6"
100810523,"5,2",6.0,"10,5",2.0,"18,2"
100810532,"15,8",92.0,"13,9",10.0,"23,8"
100810541,"37,7",438.0,"9,9",13.0,"11,0"
100890057,"19,8",138.0,"21,8",9.0,"28,1"
100890059,"15,9",98.0,"14,7",11.0,"26,2"
